Commit Hash,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWEs
9523006807f220be3ef3326fc62dea887b6425ec,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
5eb676ac9afd4a5d90cdda198d174c2c8d2da226,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
91d49e86321781deb6b5b4d293905d364dffaa6f,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
0b43f728b65a14a74a53bcf0a9692efc163993a3,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
a4225f305a88eea7bababbfa2ff479a118406c93,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
728b3fcd4127976444fd215b165292a7cd4331e2,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
f93ff1b44a7de4ad09f54b1b6984f0da99813fbe,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
6e7731f8f1d061aa2bc7853b16594e4e2c2e6102,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
0b5cd27ac5616d15e7be1261d18a0da67f4c3a45,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
f83a15b06cdf807a6c8e3863a257e2d7ea8dfbf9,14264,10,8,8,128,14146,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
29b3f85ea439b2a23730fb42ee4d72c1c3ed731b,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
4f29d4e304bb7f30bf5c401544410ae281be3c29,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
02eaa94d82655a94224984f6cc5230ef6b1534ad,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
e13e28022c3574250ab6c7c091742bbfc74c51b8,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
79e96eff2bf68a65c0644d2f66a9711982c6218e,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
601dfd130f5b6feea7878e13f6c1a5f81820fe41,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
7e861bcbfe577c0cfff250a7097985b69ca0877c,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
54f6046fc806644baac1d01990233b041590b882,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
ee4e1637cede6d6d3176233e8e6f134081d4a638,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
ebc1276e7b859c84de60bebf9e2a5871ed205f0d,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
3c8d92dd5f224f9dad9494267ca5397c2634e200,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
39d200df4f4394f4f6848a59da1a9dfe46d0c589,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
09881081a26ebddcf4907717f2676ed0973252ed,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
5cce87176a530d2abea45b5a7e5a4d837c481749,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
c56502992df1c3e0914df7fa1623867c354e6576,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
5f50a8706f46e971aa053791a1441ac8a4ebd623,14266,10,8,8,128,14148,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
5aece174103f3b1238c2ed8ac6cc246977c42520,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
4ec5f69061a9c37e0f6b9920e296e06c6b4669ac,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
956b7e5e88cd49d8d10b2c3a39eab53c4a22edbe,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
181fbd91df2897ddf485a9521aa29e13b8d6849a,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
1e3639e7cdab5bf92590afd260390cafc01829de,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
7ca71b6e5de9a612ca107c051be9f9699e8f4827,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
f89ac51954cf1d3050d7684e94e04df3a1fbfb1a,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
72e30c9e2078a1d69560de24c47a4731f6eed939,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
5876f901af4fe1c79ecd78f3069bf853ecb88054,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
2c2e970c86b07dc88e85e8575af16dbc0bd3046e,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
40f5eb1386b244fc90b218b1d1fab28421d738c1,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
98af964055bb1e719de0468ff1ddf58ec1e9d3d0,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
649cf35f4741a5e606f4db68c8dbdc4171d6cff9,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
29d6766b3f831a5262638de4ba4775aca0192fda,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
5d9b3f680ca256728310cc4383f9e04b3f5b7345,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
6d14a5885c5fa1dd0f2f577dad6d59bc4aa292a6,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
d6334e11788d7e04a9501a9d67f7e8bf0358c8e4,14266,10,8,8,128,14148,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
ad840ac2ae7942f8b5c32830995648fac3de09fe,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
a12239975c8b9b802e22efb087e32781b3a7e50e,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
fef620292973dd25ca206c8bbdff194771c857fc,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
1b52e157551081e6bc7000c4d4e03647a90b775b,14264,10,8,8,128,14146,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
20e10dd9d23c13a197293df6603675cc85b04ef4,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
66ffb58a153c35ae31d8993478c652aa028b5241,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
bac46762be1d2926663f99de306d9794e63e1fb2,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
547c23fbcd25dd7412a0a5606e05d7c066555b0c,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
839f84c1deac72ced31e43bd7bc5eb1c1dbc3a6e,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
d46cc32c19afbacb1e5ed00441c9d4de31d92017,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
5c95ebe7520ce819cfb58f69c0e650fd4cd230d6,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
cd3cdfff42471fe9a94ebb7730fd5ad15ac7bf1a,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
88283eeed565666fa7d11c3529c315bc1cab8efd,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
9e78dca5e8ccad8b4e1f0d36e0e3e854f07e0aa5,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
e25e8e2119ab6c5aa5072b05c0eb60b10aee4b05,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
ec207984ee290d7ac6dee0d20ef6c5990eca06dd,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
7b09f959d3af4b70171a2c5f409e86c587fd2dd4,14264,10,8,8,128,14146,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
bccd697bb45c85e916c7d3004d1b5bc908d38a84,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
fabae96402ccaaeb9f236a8902ccc2f3725e6d11,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
bc387bfe32d81698ad19d8a2a4ee9bed0bff74c3,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
8a9a8827a7128344aac4cdf30b58c3f29479c68d,14264,10,8,8,128,14146,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
56ea300617daaf5a5a5cf5e206b08ceb708ab251,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
e15b09e5c07474cb609b44d92b71511e6d3036d0,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
1b7dea1d00fb1faf26588cf5fc23d12a4a03ba1b,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
dbbb21e12621d2a38baaf37ebe0bed1373ef9f66,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
915d1f84b99e0b3d4dca6ab9c6211bb22a8321cc,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
793171f06df305100d3bcc833635eb336c7e0fb2,14264,10,8,8,128,14146,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
88c31c299db709737f6c339e279e2cc5ee716672,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
836f8afb06c9845f43880629b381fdcc81d44260,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
519902db9cec3fe3fc83f2311f1ce1dc0c125f5d,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
033a46cf2190ef11c40812bdc7b0380c4eea3f22,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
df62bd2d131565bf50127afaafd31252530b35b6,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
f89ba6d5f0cb75ff9c5071deab487860996a8752,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
47ab98cbaf118a99b94d4734ba179583164702f2,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
8db0cfe036177141650e6ccce9d82a3a63f95994,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
3a62d5f94f5b215385e47f9045f657389e045deb,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
243d61ac44f388b04c5bde0047c21c7afc667778,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
a324ff32381476b3aa2faeb330b3ebc1ffce2bdd,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
2c0cdd479a2d229e88afbb97cce91eef3d1b07c9,14266,10,8,8,128,14148,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
e43307ea99e880dba65fbe42b056b00206e270b2,14244,10,8,8,128,14126,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
fa8c15f67fa557ce2ac92926d5c14a2c5de8ace6,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
ace18d29f20ad097df80817eb575df2ae96c3cbc,14264,10,8,8,128,14146,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
368a200ca2c08021f49c1126e5431042c2b5238f,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
d0ee195cdc1e321ec1d094283aaa30fe061d9572,14266,10,8,8,128,14148,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
3c0e722a647ba649d08dbf6473873eeb79dbf2f2,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
7510b06f942c59d5a287d420e4db8f4ac5731dce,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
6a2472fa5e48a53907418a427c29562a889bd1a7,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
0a39bb524504cffa810b4da06455c63357de7149,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
2b97ac5b97fb428a91893d594fc8e381ce00a911,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
a3abdbb35d0429ac7f32d6eac4fe0b7e2447c65e,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
d8932866b6f4b2dee508a54b79f1122ff5f5459d,14254,10,8,8,128,14136,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
39c8e1bd3cfbca2790c2b4414ab75b064e540a1e,14270,10,8,8,128,14152,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
ada9947d22b2e96c63a62d071e81b6fc048dbe02,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
9ce8be6995995967900d9ed559a3cc712a1e6fa4,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
2907b1243a0b03e8b17100b152b8bcda11ec6801,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
a5e95048930a1dd20b44a83a31c225b1ade2f578,14260,10,8,8,128,14142,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
bc7e720a3061b696666ca0162c78637bffc35432,14258,10,8,8,128,14140,"[259, 327, 330, 78, 400, 22, 502, 377, 94, 703]"
